College Name|College ID|USN|Stundet Name|10th Percentage|12th Percentage|College CGPA|Course|Coding Test Time|Coding Test Score
Mitchell Scott|MITC|MITC00205|Christopher Lee|78.2|95.3 %|8.6|MECH|16 May 2023 14:43:33+0800|2
Raymond Russell|RAYM|RAYM00206|Kristen Huff|81.7|82.7 %|8.6|MECH|20 Mar 2023 21:25:44+0530|8
Traci Maynard|TRAC|TRAC00207|Ashley Gomez|78.3|85.6|8.7|CSE|29 Aug 2022 09:56:48-0400|0
Mr. Joshua Summers DDS|MR. |MR. 00208|Nicolas Hernandez|76.3|83.4 Perc|9.9|MECH|14 Jul 2022 01:51:09+0800|14
William Webster|WILL|WILL00209|Robert Murray|93.7|83.0|9.4|MECH|02 Oct 2022 05:55:46+0000|13
Andrew Diaz|ANDR|ANDR00210|Chad Holden|78.7|88.0 %|9.0|MECH|03 Dec 2022 06:20:44+0000|9
Michelle Pineda|MICH|MICH00211|Jacqueline Cook|78.9|87.5 Perc|9.6|CSE|20 Sep 2022 08:03:30-0300|9
William Webster|WILL|WILL00212|Scott Walsh|86.8|90.8 Perc|7.6|CSE-ML|13 Sep 2022 21:00:35+0800|1
William Webster|WILL|WILL00213|Amanda Mills|92.1|92.0 Perc|7.7|CSE-AI|08 Jul 2022 17:34:59+0530|8
Traci Maynard|TRAC|TRAC00214|Christine Bass|92.3|85.2 Perc|9.6|MECH|07 Jan 2023 20:39:21+0000|1
Cheryl Adams|CHER|CHER00215|David Walker|86.7|91.5 Perc|8.2|CSE-AI|03 Sep 2022 15:08:29+0000|13
Christopher Mcneil|CHRI|CHRI00216|Ronald Banks|80.9|89.6 %|9.8|CSE|21 Jan 2023 13:56:16+0530|3
Joseph Horton|JOSE|JOSE00217|Jason Shepherd|85.1|83.8|9.1|CSE-ML|05 Dec 2022 15:10:30+0800|7
Michael Green|MICH|MICH00218|Erin Johns|78.9|97.1 Perc|8.9|MECH|16 Apr 2023 10:32:16+0000|6
Andrew Murphy|ANDR|ANDR00219|Juan Shelton|86.6|77.0 %|9.1|MECH|29 Jul 2022 14:58:56+0800|7
Joseph Horton|JOSE|JOSE00220|Cheryl Stone|90.6|76.6 Perc|9.8|CSE|16 Jun 2022 10:07:24+0530|1
Pamela Harris|PAME|PAME00221|Kathy Miller|95.4|82.7 %|9.2|MECH|12 May 2023 18:51:16+0800|8
Andrew Diaz|ANDR|ANDR00222|Dylan Campbell|76.1|80.6|7.8|MECH|05 Aug 2022 13:00:50+0530|5
Joseph Horton|JOSE|JOSE00223|James Frank|75.5|82.4 Perc|7.8|MECH|04 Dec 2022 04:53:07-0300|2
Andrew Diaz|ANDR|ANDR00224|Michelle Andrade|80.8|97.9 %|9.9|MECH|16 May 2023 05:06:01+0530|2
Mitchell Scott|MITC|MITC00225|Juan Chan|77.9|82.0 Perc|8.2|CSE|07 Jun 2022 21:35:52-0400|11
Brandon Barker|BRAN|BRAN00226|Alexandria Walton|82.8|79.9 %|8.7|CSE-ML|12 Oct 2022 20:30:37+0800|2
Christopher Mcneil|CHRI|CHRI00227|Nicholas Moody|83.9|91.4 Perc|8.9|CSE|07 Feb 2023 00:31:16+0800|1
Erik Herrera|ERIK|ERIK00228|Ronald Ramos|83.3|88.3 Perc|8.7|CSE-AI|30 Sep 2022 03:21:36+0530|9
Andrew Murphy|ANDR|ANDR00229|Ronald Allen|96.3|95.4 %|8.4|MECH|30 May 2023 17:22:18+0530|2
Ryan Gonzalez|RYAN|RYAN00230|Megan Carlson|75.2|93.7 Perc|9.3|CSE|22 Jun 2022 18:02:06+0000|8
Lauren Jones|LAUR|LAUR00231|Mallory Price|86.6|93.7|7.8|MECH|12 Jan 2023 16:51:01+0530|12
Andrew Murphy|ANDR|ANDR00232|Lisa Perry|94.3|86.0|8.3|MECH|14 Mar 2023 08:56:43+0530|7
Laura Sawyer|LAUR|LAUR00233|Laura Wiggins|78.7|98.5 Perc|7.5|CSE-AI|20 Apr 2023 02:50:45+0800|10
Michelle Pineda|MICH|MICH00234|Jose Graves|80.8|97.1 %|9.8|MECH|09 Apr 2023 21:37:25+0800|6
Brandon Barker|BRAN|BRAN00235|Rachel Cherry|99.7|99.9|8.6|CSE-ML|24 Aug 2022 23:02:34+0000|3
Christopher Mcneil|CHRI|CHRI00236|John Vang|89.1|90.0 Perc|9.2|CSE-AI|15 Sep 2022 23:03:12+0000|9
Erik Herrera|ERIK|ERIK00237|Joshua Moreno|82.8|76.0|9.2|CSE-AI|26 Nov 2022 20:27:02-0300|10
Christopher Mcneil|CHRI|CHRI00238|Julie Griffin|75.0|95.5 %|9.4|CSE|20 Sep 2022 08:03:30-0300|9
Michael Green|MICH|MICH00239|Mary Kennedy|77.5|78.0 Perc|8.6|MECH|31 Mar 2023 06:25:23+0800|11
Lauren Jones|LAUR|LAUR00240|George Gay|79.3|93.1|8.0|CSE|29 Dec 2022 19:12:23+0000|10
Mitchell Scott|MITC|MITC00241|Sharon Schmidt|79.9|77.7 %|9.2|CSE-ML|29 May 2023 16:42:40+0800|5
Joseph Horton|JOSE|JOSE00242|Leslie Chavez|96.3|91.1 Perc|9.9|CSE|15 Feb 2023 03:52:02+0000|6
Michelle Pineda|MICH|MICH00243|Connor Anderson|97.5|84.0 %|7.8|CSE-AI|23 May 2023 00:35:57+0000|10
Alexis Dean|ALEX|ALEX00244|Luke Merritt|81.6|95.2 %|9.5|MECH|09 Aug 2022 01:41:44+0000|14
Lauren Jones|LAUR|LAUR00245|Tiffany Murphy|91.2|95.7 Perc|7.7|CSE-ML|13 Dec 2022 15:20:06-0300|9
Michael Green|MICH|MICH00246|Steven Salas|90.2|84.0 Perc|8.6|MECH|30 Mar 2023 13:55:12+0800|4
Lauren Jones|LAUR|LAUR00247|Casey Marsh|83.2|98.1|9.9|MECH|27 May 2023 04:03:26+0530|10
Christopher Mcneil|CHRI|CHRI00248|Alicia Lewis|78.1|84.7 Perc|8.6|CSE-AI|02 Jun 2023 09:04:19+0530|8
Timothy Rodriguez|TIMO|TIMO00249|Kevin Murphy|76.8|92.9|7.9|CSE-AI|04 Jan 2023 08:01:13+0000|6
Michelle Pineda|MICH|MICH00250|Joseph Brown|77.2|80.2 %|8.1|CSE|10 Aug 2022 20:50:48+0000|13
Andrew Murphy|ANDR|ANDR00251|Edward Meyer|80.7|80.8 Perc|9.3|CSE|07 Feb 2023 15:52:39+0000|1
Traci Maynard|TRAC|TRAC00252|Joseph Flores|84.4|93.7 %|7.5|MECH|22 Apr 2023 15:02:30-0400|11
Andrew Murphy|ANDR|ANDR00253|Diana Saunders|87.4|99.4 %|8.7|MECH|20 Jul 2022 07:42:36+0000|12
Raymond Russell|RAYM|RAYM00254|Allison Perry|79.1|78.2 Perc|8.8|MECH|19 Nov 2022 18:46:41+0530|2
Pamela Harris|PAME|PAME00255|Tommy Rodriguez|80.8|89.6|9.5|CSE|07 Jul 2022 08:00:09-0400|2
Lauren Jones|LAUR|LAUR00256|Anne Cooper|97.3|84.8 %|8.9|MECH|18 Mar 2023 05:48:29+0000|2
Andrew Diaz|ANDR|ANDR00257|Susan Moore|89.9|89.1|8.5|CSE-ML|20 Aug 2022 11:51:55-0400|6
Timothy Rodriguez|TIMO|TIMO00258|Heidi King|83.8|98.3 Perc|8.0|CSE-AI|15 Sep 2022 12:11:12-0300|6
Joseph Horton|JOSE|JOSE00259|Sara Brown|83.6|81.1 Perc|8.1|MECH|17 Jan 2023 16:01:32+0530|6
Brandon Barker|BRAN|BRAN00260|Monica Hicks|78.4|77.8|9.9|CSE-ML|04 Dec 2022 12:07:56+0000|9
Andrew Diaz|ANDR|ANDR00261|Melissa Cox|82.5|80.8 %|7.6|CSE-ML|17 Jul 2022 16:42:22+0800|8
Alexis Dean|ALEX|ALEX00262|Dillon Miller|80.1|79.9|8.8|CSE-ML|12 Dec 2022 05:23:16+0000|11
Raymond Russell|RAYM|RAYM00263|Elizabeth Church|88.0|97.7 %|7.6|CSE|16 Nov 2022 06:23:21+0530|5
Raymond Russell|RAYM|RAYM00264|Matthew Stephens|75.7|97.1 %|8.9|MECH|21 Jun 2022 10:21:23+0800|3
Cheryl Adams|CHER|CHER00265|Nicholas Davenport|90.1|79.9|9.7|CSE|23 Sep 2022 11:32:00+0000|7
Traci Maynard|TRAC|TRAC00266|Alexis Rivers|88.6|75.8 %|9.3|CSE-AI|04 Jan 2023 01:38:29+0800|10
Ryan Gonzalez|RYAN|RYAN00267|Austin Harmon|92.3|79.2 %|7.8|MECH|15 Sep 2022 23:03:12+0000|11
William Webster|WILL|WILL00268|Arthur Grant|98.8|82.5|8.7|MECH|17 Aug 2022 07:01:55+0800|4
Christopher Mcneil|CHRI|CHRI00269|Madison Miller|97.7|87.8 Perc|7.5|MECH|09 Jun 2022 19:38:25+0800|3
Cheryl Adams|CHER|CHER00270|Beverly Ray|87.8|86.3|7.7|CSE-ML|28 Sep 2022 09:30:58+0800|8
Laura Sawyer|LAUR|LAUR00271|Bonnie Scott|76.3|79.4 %|8.2|CSE-AI|10 Jul 2022 00:44:14+0800|2
Pamela Harris|PAME|PAME00272|Yolanda Tucker|75.5|81.6 Perc|9.4|CSE|13 Sep 2022 11:05:22+0800|14
Christopher Mcneil|CHRI|CHRI00273|Stacy Larson|83.2|81.3 Perc|8.7|CSE|27 Feb 2023 03:55:58+0530|6
Timothy Rodriguez|TIMO|TIMO00274|Jesse Martinez|98.4|83.8 %|8.0|CSE-AI|13 Mar 2023 19:21:35+0530|2
Christopher Mcneil|CHRI|CHRI00275|Victoria Gonzalez|87.8|96.0|9.3|CSE-AI|24 Oct 2022 20:47:08+0530|13
Michelle Pineda|MICH|MICH00276|Trevor Smith|82.3|86.2 %|9.1|MECH|07 Oct 2022 22:02:53+0530|8
Christopher Mcneil|CHRI|CHRI00277|Teresa Torres|86.4|82.0 %|8.7|CSE|01 Dec 2022 14:07:06+0800|0
Ryan Gonzalez|RYAN|RYAN00278|Parker Shannon|76.1|97.1 %|7.6|CSE-ML|17 Aug 2022 07:01:55+0800|8
Andrew Murphy|ANDR|ANDR00279|Samantha Kirby|96.7|95.1|7.5|MECH|16 Nov 2022 06:23:21+0530|13
Erik Herrera|ERIK|ERIK00280|Laura Brooks|96.8|76.2|7.5|CSE-ML|11 Mar 2023 22:54:54+0800|5
Traci Maynard|TRAC|TRAC00281|Mark Lopez|82.5|96.1|9.1|CSE-AI|08 Mar 2023 03:33:02+0800|1
Michael Green|MICH|MICH00282|Christian Flores|86.3|80.7 Perc|8.5|CSE-AI|18 Aug 2022 13:58:31+0000|12
Ryan Gonzalez|RYAN|RYAN00283|Matthew Hernandez|80.0|98.1|8.7|MECH|17 Jul 2022 07:55:36+0000|0
Erik Herrera|ERIK|ERIK00284|Aaron Sanchez|97.5|93.3|8.1|CSE|21 Apr 2023 20:28:46+0800|3
Laura Sawyer|LAUR|LAUR00285|Monica Ramsey|83.7|85.9 Perc|8.5|CSE|06 Jul 2022 12:27:15-0400|5
Pamela Harris|PAME|PAME00286|Jesse Wheeler|91.7|88.1 Perc|9.7|MECH|05 May 2023 09:19:59+0800|9
Mr. Joshua Summers DDS|MR. |MR. 00287|Cathy Phillips|78.7|88.6|9.1|CSE-ML|27 Jan 2023 09:39:52+0530|4
Lauren Jones|LAUR|LAUR00288|Tamara Duarte|90.4|91.2 Perc|9.1|CSE|16 Aug 2022 23:41:09+0000|8
Michelle Pineda|MICH|MICH00289|Tasha Henry|78.4|77.1 Perc|9.9|CSE-ML|09 Sep 2022 01:50:10+0000|8
Mitchell Scott|MITC|MITC00290|Jason Rodriguez|97.0|81.5|9.2|CSE-AI|11 Mar 2023 22:54:54+0800|11
Traci Maynard|TRAC|TRAC00291|Kayla Warren PhD|92.3|97.5|9.9|CSE|12 Jan 2023 06:47:28+0800|8
Mitchell Scott|MITC|MITC00292|Robert Owens|93.2|92.1 Perc|8.0|MECH|10 Feb 2023 16:47:38+0530|11
Michelle Pineda|MICH|MICH00293|Christopher James|87.6|85.0 Perc|7.6|MECH|23 Feb 2023 23:52:40+0800|1
Alexis Dean|ALEX|ALEX00294|Anthony Turner|97.9|98.8 %|8.0|MECH|03 Jul 2022 09:11:53+0800|3
Mitchell Scott|MITC|MITC00295|Marvin Woods|99.8|81.8|8.5|CSE|24 Apr 2023 09:58:05+0530|13
Alexis Dean|ALEX|ALEX00296|Jerry Wilson|96.2|85.5|9.5|CSE|01 Mar 2023 01:43:13+0800|1
Michelle Pineda|MICH|MICH00297|Jaime Holmes|80.9|92.4 %|8.9|CSE-ML|20 Aug 2022 19:57:42-0400|6
Pamela Harris|PAME|PAME00298|Angela Davis|80.6|82.9|7.7|CSE-AI|26 Sep 2022 16:53:37+0800|12
Joseph Horton|JOSE|JOSE00299|Lisa Parker|87.1|90.0 %|8.1|CSE-AI|29 Dec 2022 19:12:23+0000|13
Traci Maynard|TRAC|TRAC00300|Steve Wheeler|84.8|83.5|8.4|MECH|01 Nov 2022 06:50:01+0530|1
Brandon Barker|BRAN|BRAN00301|Molly Rowe|90.1|93.4|9.7|MECH|27 Feb 2023 10:41:44+0800|2
Traci Maynard|TRAC|TRAC00302|Michael Gregory|97.3|91.3 %|7.9|CSE-AI|22 Feb 2023 02:56:20+0000|2
Laura Sawyer|LAUR|LAUR00303|Tanya Henderson|86.4|92.8|9.5|MECH|04 Oct 2022 08:47:25+0000|13
Ryan Gonzalez|RYAN|RYAN00304|Abigail Aguilar|88.7|96.9 Perc|9.3|MECH|19 Jun 2022 00:34:47+0530|7
Joseph Horton|JOSE|JOSE00305|Duane Monroe|77.4|96.9|8.0|CSE-ML|02 Aug 2022 03:43:01-0400|10
Andrew Murphy|ANDR|ANDR00306|Stephanie Simon|92.0|82.1 Perc|7.9|MECH|10 Sep 2022 09:51:51-0400|3
Timothy Rodriguez|TIMO|TIMO00307|Dr. Brittany Boyer|84.5|85.8 %|9.6|MECH|03 Nov 2022 12:12:29+0530|5
Mr. Joshua Summers DDS|MR. |MR. 00308|Sheryl Buchanan|81.4|77.8 %|8.8|CSE-AI|09 Oct 2022 02:01:53+0530|1
Mr. Joshua Summers DDS|MR. |MR. 00309|Monica Blake|80.6|78.5 %|8.5|CSE-AI|07 Jan 2023 01:55:58+0800|4
Joseph Horton|JOSE|JOSE00310|Brian Ross|76.5|91.3 %|9.8|MECH|17 Sep 2022 13:13:09-0300|0
Traci Maynard|TRAC|TRAC00311|Jeremy Mullins|87.6|80.9 Perc|7.6|CSE|16 May 2023 05:06:01+0530|6
Michael Green|MICH|MICH00312|Christina Huffman|90.4|95.3 Perc|9.3|MECH|17 Aug 2022 20:44:12-0400|11
Cheryl Adams|CHER|CHER00313|Mario Brown|94.2|98.2|8.4|CSE-ML|07 Apr 2023 09:36:37+0530|3
Traci Maynard|TRAC|TRAC00314|Alan Clark|78.9|86.3 %|8.6|MECH|20 Apr 2023 02:50:45+0800|12
Pamela Harris|PAME|PAME00315|Jillian Hodge|94.3|89.0 %|8.9|CSE-AI|11 Jan 2023 15:57:31+0530|9
Pamela Harris|PAME|PAME00316|Joseph Gonzalez|84.5|76.5 %|9.0|CSE|07 Apr 2023 09:36:37+0530|6
Joseph Horton|JOSE|JOSE00317|Mr. Mario Hill|75.4|94.6|8.6|MECH|29 Jul 2022 14:58:56+0800|12
Brandon Barker|BRAN|BRAN00318|Eric Mccall|79.7|98.3|7.5|MECH|12 May 2023 15:36:08+0530|9
Cheryl Adams|CHER|CHER00319|Emily Gentry MD|81.7|86.7 Perc|7.5|MECH|13 Sep 2022 21:00:35+0800|12
Andrew Diaz|ANDR|ANDR00320|Donna Taylor|96.5|99.0|7.6|CSE-AI|03 Mar 2023 21:59:45+0530|2
Erik Herrera|ERIK|ERIK00321|Paul Tran|81.8|82.4 Perc|7.9|MECH|19 Nov 2022 18:46:41+0530|13
Cheryl Adams|CHER|CHER00322|Samantha Griffin|93.0|98.9 %|9.7|CSE-ML|30 Oct 2022 02:17:19+0530|14
Raymond Russell|RAYM|RAYM00323|Terry Hart|81.3|83.1 Perc|9.5|CSE-AI|08 Oct 2022 09:29:57+0530|6
Christopher Mcneil|CHRI|CHRI00324|Alex Gray|86.2|78.8|7.8|CSE|07 Jun 2022 21:35:52-0400|6
Andrew Diaz|ANDR|ANDR00325|Joseph Benjamin|85.4|86.6|8.0|MECH|28 Feb 2023 20:26:20+0530|8
Mr. Joshua Summers DDS|MR. |MR. 00326|Catherine Copeland|91.4|97.0|8.9|CSE-ML|11 Mar 2023 08:58:50-0300|9
Andrew Diaz|ANDR|ANDR00327|Brad Peterson|98.7|78.3 Perc|9.4|CSE-AI|22 Jun 2022 18:02:06+0000|6
William Webster|WILL|WILL00328|Andrew Strickland|96.7|83.7|9.9|MECH|23 Sep 2022 10:40:47+0530|8
Traci Maynard|TRAC|TRAC00329|Jessica Turner|89.1|99.5|9.9|CSE-ML|29 Aug 2022 23:51:54-0400|14
Christopher Mcneil|CHRI|CHRI00330|Harold Koch|80.1|78.3 Perc|7.8|CSE-ML|24 Mar 2023 14:47:26+0530|2
William Webster|WILL|WILL00331|Alexis Miller|80.7|84.0 Perc|8.6|CSE-ML|28 Jan 2023 12:12:57-0300|3
Lauren Jones|LAUR|LAUR00332|Bobby Collier|96.1|80.7 %|9.7|CSE-AI|19 Aug 2022 11:47:52+0000|9
Michael Green|MICH|MICH00333|Holly Welch|96.0|91.5 Perc|7.9|CSE|07 Oct 2022 22:02:53+0530|0
William Webster|WILL|WILL00334|Lawrence Daniels|99.6|88.7 Perc|7.7|CSE-AI|19 Oct 2022 13:19:32+0530|0
Timothy Rodriguez|TIMO|TIMO00335|Amber Sanchez|78.4|97.0 Perc|9.3|CSE-AI|09 Apr 2023 06:28:42+0000|4
Traci Maynard|TRAC|TRAC00336|Lisa Brown|98.4|87.3 %|9.2|CSE-AI|17 Aug 2022 20:44:12-0400|6
Raymond Russell|RAYM|RAYM00337|Jared Hernandez|78.2|77.4|9.9|MECH|03 Dec 2022 06:20:44+0000|7
Timothy Rodriguez|TIMO|TIMO00338|Danielle Sellers|81.5|88.6 Perc|7.5|MECH|18 Nov 2022 00:10:32+0800|1
Traci Maynard|TRAC|TRAC00339|Mary Davis|99.0|89.3|8.0|CSE|26 Oct 2022 16:29:55+0000|12
Alexis Dean|ALEX|ALEX00340|Jerry Acosta|76.6|98.0 %|9.3|CSE-AI|09 Aug 2022 16:40:49+0530|7
Laura Sawyer|LAUR|LAUR00341|Angela Case|78.0|98.4 Perc|7.9|CSE|06 Feb 2023 15:32:56-0300|0
Michael Green|MICH|MICH00342|Jon Ellis|97.7|83.7|8.0|CSE|18 Aug 2022 13:58:31+0000|7
Christopher Mcneil|CHRI|CHRI00343|Christian Lopez|88.7|75.0 Perc|8.6|MECH|23 Jul 2022 07:48:41+0000|11
Christopher Mcneil|CHRI|CHRI00344|Nancy Dudley|78.7|85.4 Perc|8.5|MECH|03 Jul 2022 14:11:40+0800|3
Ryan Gonzalez|RYAN|RYAN00345|Robert Black|93.0|81.9 %|9.2|CSE-ML|30 Jun 2022 18:52:02+0800|11
Laura Sawyer|LAUR|LAUR00346|Kenneth Castillo|99.1|81.4 %|8.1|CSE|17 Nov 2022 10:41:40+0800|1
Michelle Pineda|MICH|MICH00347|Christine Wilson|78.7|93.2 %|9.4|MECH|13 Mar 2023 19:21:35+0530|1
William Webster|WILL|WILL00348|Ian Archer|84.8|89.9|9.5|CSE-AI|24 Sep 2022 07:54:06+0800|9
Brandon Barker|BRAN|BRAN00349|David Wood|76.5|75.6|8.5|MECH|24 Mar 2023 14:47:26+0530|6
Michelle Pineda|MICH|MICH00350|Charles Riley|94.7|88.3 %|8.2|CSE-AI|20 Jan 2023 21:08:38-0300|9
Erik Herrera|ERIK|ERIK00351|Brian Owen|76.0|99.8 Perc|8.0|CSE-ML|31 Dec 2022 08:31:20+0800|2
Ryan Gonzalez|RYAN|RYAN00352|Kenneth Calderon|95.7|96.6|9.5|CSE|04 Oct 2022 08:47:25+0000|11
Brandon Barker|BRAN|BRAN00353|Hayden Huffman|79.0|89.6|8.4|CSE-AI|10 Aug 2022 08:29:00+0530|8
Alexis Dean|ALEX|ALEX00354|Christopher Nelson|95.3|98.5|9.4|MECH|01 Dec 2022 14:07:06+0800|3
William Webster|WILL|WILL00355|Karen Davis|79.8|93.1 %|9.5|CSE-AI|26 Feb 2023 07:47:48-0300|8
Christopher Mcneil|CHRI|CHRI00356|Jordan Shaw|97.0|77.0 Perc|8.9|CSE-AI|23 Apr 2023 15:10:04+0530|12
Erik Herrera|ERIK|ERIK00357|Cory Villegas|76.8|83.0 %|9.7|CSE-ML|18 Jan 2023 14:07:25+0000|3
Pamela Harris|PAME|PAME00358|Kristina Gardner|87.5|95.5 %|8.0|CSE-AI|01 Dec 2022 05:27:07-0300|9
Michael Green|MICH|MICH00359|Jessica Walker|85.8|80.8 Perc|7.6|CSE-AI|26 Feb 2023 07:47:48-0300|6
Alexis Dean|ALEX|ALEX00360|Valerie Conway|93.5|82.8|8.6|CSE|25 Jul 2022 12:05:30-0400|8
Christopher Mcneil|CHRI|CHRI00361|Angel Taylor|76.3|78.1 Perc|9.7|CSE-ML|08 Jun 2022 12:16:16-0400|9
Cheryl Adams|CHER|CHER00362|Jacob Mills|82.9|88.6 %|8.0|CSE|29 Sep 2022 19:25:57+0530|8
Laura Sawyer|LAUR|LAUR00363|Paul Riddle|92.1|77.6 Perc|8.4|MECH|13 Sep 2022 15:18:52+0530|8
Cheryl Adams|CHER|CHER00364|Julie Curtis|87.8|77.8 Perc|9.1|MECH|26 Dec 2022 12:11:34-0300|7
Andrew Murphy|ANDR|ANDR00365|Kayla Harris|95.9|84.5 %|8.6|CSE-AI|13 Aug 2022 00:27:52+0000|8
Mr. Joshua Summers DDS|MR. |MR. 00366|Gregory Martin|81.8|99.8 %|8.9|CSE-ML|10 Dec 2022 20:36:22+0800|4
William Webster|WILL|WILL00367|Joann Welch|95.0|86.9|8.3|CSE|16 May 2023 14:43:33+0800|10
Cheryl Adams|CHER|CHER00368|Matthew Hanson|89.5|76.0 %|7.7|CSE|28 Jan 2023 00:05:14+0800|7
Traci Maynard|TRAC|TRAC00369|Brittney Cook|87.5|97.0 %|9.5|CSE-AI|03 Oct 2022 13:49:09+0530|5
Michelle Pineda|MICH|MICH00370|Brittany Reeves|97.0|95.3|7.9|CSE|28 Sep 2022 02:29:40-0300|14
Mr. Joshua Summers DDS|MR. |MR. 00371|Robert Jones|78.5|79.8 Perc|8.4|MECH|05 Dec 2022 15:10:30+0800|5
Andrew Diaz|ANDR|ANDR00372|Ryan Wilson|99.9|97.5|8.2|CSE-AI|20 May 2023 03:06:25+0530|8
Michelle Pineda|MICH|MICH00373|Heather Foster|78.5|86.1 Perc|9.3|MECH|26 May 2023 07:11:36-0400|11
Mitchell Scott|MITC|MITC00374|Cole Cline|90.4|79.8|8.3|MECH|26 May 2023 07:11:36-0400|0
Cheryl Adams|CHER|CHER00375|Jeffrey Johnson|75.0|91.9|9.3|CSE-ML|01 May 2023 19:18:24+0530|0
Raymond Russell|RAYM|RAYM00376|Raymond Bryan|96.9|99.0 Perc|8.0|MECH|10 Jul 2022 00:44:14+0800|6
Lauren Jones|LAUR|LAUR00377|Tiffany Stevens|93.2|89.8|8.1|CSE|27 Feb 2023 03:55:58+0530|9
Michelle Pineda|MICH|MICH00378|Brian Thompson|77.5|77.3|8.8|CSE|05 Jul 2022 07:59:05-0400|11
Joseph Horton|JOSE|JOSE00379|Matthew Tucker|88.7|88.1|9.8|CSE-AI|25 May 2023 19:39:02+0800|9
Lauren Jones|LAUR|LAUR00380|Julie Taylor DVM|95.3|80.5 Perc|9.2|CSE-ML|04 Jan 2023 06:06:00+0000|13
Ryan Gonzalez|RYAN|RYAN00381|Maria Montgomery|87.4|79.0|8.2|MECH|31 Jan 2023 04:34:59-0300|5
Erik Herrera|ERIK|ERIK00382|Shane Cunningham|95.8|78.4 %|9.4|CSE-ML|24 Aug 2022 00:20:48+0530|12
Laura Sawyer|LAUR|LAUR00383|Howard Scott|97.3|83.5|8.3|MECH|23 Feb 2023 23:52:40+0800|5
Ryan Gonzalez|RYAN|RYAN00384|Jenna Cruz|76.8|86.2 Perc|8.4|MECH|23 Dec 2022 23:35:36-0300|11
Andrew Murphy|ANDR|ANDR00385|Nichole Ortiz|77.0|85.9 Perc|9.7|MECH|13 Jun 2022 11:19:22+0800|10
Laura Sawyer|LAUR|LAUR00386|Becky Chavez|77.0|91.3 Perc|8.1|MECH|10 Apr 2023 12:57:53+0800|5
Traci Maynard|TRAC|TRAC00387|Ashley Mora|89.5|87.6 %|8.3|MECH|03 Mar 2023 21:59:45+0530|7
Ryan Gonzalez|RYAN|RYAN00388|Jordan Johnson|87.3|89.9 Perc|7.9|CSE-AI|04 Mar 2023 21:54:51+0800|10
Lauren Jones|LAUR|LAUR00389|Tracy Anderson|87.7|75.2 %|8.0|MECH|22 Jun 2022 18:02:06+0000|14
Lauren Jones|LAUR|LAUR00390|Carlos Wilson|79.1|78.2|8.3|CSE-ML|11 Sep 2022 08:38:12+0530|8
William Webster|WILL|WILL00391|Stephanie Pratt|83.7|89.2 Perc|8.2|CSE-ML|29 Nov 2022 14:00:33+0530|8
Timothy Rodriguez|TIMO|TIMO00392|Jeffrey Mcneil|87.3|87.6 Perc|9.2|CSE-AI|03 Mar 2023 21:59:45+0530|8
Ryan Gonzalez|RYAN|RYAN00393|Margaret Edwards|98.9|87.3 Perc|9.5|CSE-ML|21 Mar 2023 21:34:57+0000|14
Mr. Joshua Summers DDS|MR. |MR. 00394|Jessica Gonzalez|83.2|83.5|7.9|MECH|05 Jan 2023 21:39:09+0800|8
Ryan Gonzalez|RYAN|RYAN00395|Thomas Spears|98.2|84.7 Perc|7.9|MECH|04 Jun 2023 01:06:49-0400|0
Laura Sawyer|LAUR|LAUR00396|Chelsea Burns|76.4|89.9 %|9.2|CSE|06 Oct 2022 17:14:46+0530|10
Christopher Mcneil|CHRI|CHRI00397|Carol Reed|97.0|86.5|8.7|MECH|12 Feb 2023 11:47:11-0300|6
Joseph Horton|JOSE|JOSE00398|Mikayla Mcbride|89.3|83.3 %|9.5|CSE-AI|25 Sep 2022 14:25:37+0800|9
Michael Green|MICH|MICH00399|Dean Medina|98.0|96.1 Perc|9.3|CSE|30 May 2023 06:41:40-0400|12
Laura Sawyer|LAUR|LAUR00400|Andre Perry|90.4|81.3|7.7|MECH|20 Aug 2022 20:48:19+0800|4
Brandon Barker|BRAN|BRAN00401|Joseph Lowe|81.1|83.0 %|9.1|MECH|15 Feb 2023 03:52:02+0000|13
Pamela Harris|PAME|PAME00402|James Carlson|80.8|78.8 Perc|9.1|CSE-ML|26 Oct 2022 13:58:16-0300|13
Mitchell Scott|MITC|MITC00403|Jesus Hood|84.1|81.7 Perc|7.6|MECH|13 Mar 2023 17:11:18-0300|10
Michelle Pineda|MICH|MICH00404|Robert Larson|86.4|76.1 Perc|8.8|CSE-AI|26 Oct 2022 01:36:43+0800|8
Michelle Pineda|MICH|MICH00405|Samuel Patel|79.3|97.5 %|8.3|CSE|29 Jul 2022 14:58:56+0800|10
Traci Maynard|TRAC|TRAC00406|Mary Lindsey|81.4|78.3 Perc|8.7|CSE-AI|23 Oct 2022 18:19:24-0300|11
Alexis Dean|ALEX|ALEX00407|Antonio Bennett|85.3|84.9|8.9|MECH|31 Dec 2022 11:18:07-0300|12
Laura Sawyer|LAUR|LAUR00408|Katherine Lewis|84.8|98.7 %|9.7|CSE|29 Jul 2022 14:58:56+0800|0
Brandon Barker|BRAN|BRAN00409|Natasha Massey|76.5|97.7 Perc|7.9|CSE-AI|04 May 2023 19:50:54-0400|14
Raymond Russell|RAYM|RAYM00410|Jessica Jones|98.2|85.6 %|8.9|CSE-AI|24 Aug 2022 13:35:29-0400|6
